description,price,rating,review_count,url
"Inspiron 3511 Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7 (Beats Intel i7-1065G7), 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",526,4.2 out of 5 stars,77,https://www.amazon.com/Dell-3511-Touchscreen-i5-1135G7-i7-1065G7/dp/B0BRT67MWZ/ref=sr_1_1?keywords=dell+laptop&qid=1700559887&sr=8-1
"Inspiron 15 3000 Series 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",524,4.3 out of 5 stars,537,https://www.amazon.com/Dell-Inspiron-3511-Touchscreen-i5-1135G7/dp/B0B29C364N/ref=sr_1_2?keywords=dell+laptop&qid=1700559887&sr=8-2
"2023 Newest Inspiron 15 3525 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Processor up to 4GHz, 32GB RAM, 1TB SSD, AMD Radeon Graphics, Wi-Fi, Bluetooth, Windows 11 Home",554,4.5 out of 5 stars,284,https://www.amazon.com/Dell-Inspiron-15-3525-Laptop/dp/B0CKMXV4ZX/ref=sr_1_3?keywords=dell+laptop&qid=1700559887&sr=8-3
"Inspiron 15 3511 15.6 Inch Laptop, Full HD LED Non-Touch WVA Display - Intel Core i3-1115G4, 8GB DDR4 RAM, 256GB SSD, UHD Graphics, Windows 11 Home - Carbon Black",348,4.0 out of 5 stars,312,https://www.amazon.com/Dell-Inspiron-3511-Non-Touch-Laptop/dp/B09GYN91J9/ref=sr_1_4?keywords=dell+laptop&qid=1700559887&sr=8-4
"Inspiron 3520 15.6"" FHD Laptop, Intel Core i7-1255U Processor, 32GB RAM, 1TB SSD, Webcam, HDMI, SD-Card Slot, Wi-Fi 6, Windows 11 Home, Black",795,5.0 out of 5 stars,4,https://www.amazon.com/Dell-Inspiron-3520-i7-1255U-Processor/dp/B0C9RVBJDW/ref=sr_1_5?keywords=dell+laptop&qid=1700559887&sr=8-5
"Inspiron Touchscreen Laptop for College Student & Business, 15.6 inch FHD, 13th Gen Intel Core i7-1355U, 32GB RAM, 1TB SSD, Webcam, Wi-Fi, HDMI, Fast Charge, Lightweight, Windows 11",949,5.0 out of 5 stars,1,https://www.amazon.com/Dell-Inspiron-Touchscreen-Business-Lightweight/dp/B0CHVBSFB8/ref=sr_1_6?keywords=dell+laptop&qid=1700559887&sr=8-6
"Newest 13th Generation Business Inspiron 15 3530 Laptop, 15.6"" FHD Touchscreen, Intel Core i7-1355U, 64GB RAM, 2TB SSD, Webcam, HDMI, Wi-Fi 6, Windows 11 Pro, Black","1,099",4.0 out of 5 stars,11,https://www.amazon.com/Dell-Generation-Inspiron-3530-Touchscreen/dp/B0CB6WK5VD/ref=sr_1_7?keywords=dell+laptop&qid=1700559887&sr=8-7
"2023 Inspiron 15 3525 Laptops for Student & Business, 15.6'' FHD 120Hz LED Display, AMD Ryzen 5 5500U, AMD Radeon Graphics, 16GB RAM|1TB SSD, HDMI, SD-Card Slot, Long Battery Life, Windows 11",549,,,https://www.amazon.com/DELL-Inspiron-15-3525-Business/dp/B0CKSBRSHL/ref=sr_1_8?keywords=dell+laptop&qid=1700559887&sr=8-8
"Inspiron 16 5620 Laptop- 16.0-inch 16:10 FHD+ (1920 x 1200) Display, Intel Core i7-1255U, 16GB Memory, 512GB SSD, NVIDIA GeForce MX570, Intel Wi-Fi 6E, Windows 11 Home - Platinum Silver",751,4.2 out of 5 stars,91,https://www.amazon.com/Dell-Inspiron-5620-Laptop-16-0-inch/dp/B09PH9NNL9/ref=sr_1_9?keywords=dell+laptop&qid=1700559887&sr=8-9
"2022 Newest Inspiron 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",566,4.4 out of 5 stars,24,https://www.amazon.com/Dell-Inspiron-Touchscreen-i5-1135G7-Windows/dp/B0B6WNZCMT/ref=sr_1_10?keywords=dell+laptop&qid=1700559887&sr=8-10
